"Notes","Year","Year Code","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2004","2004","Female","F","75-84 years","75-84",2140,7738742,27.7,26.5,28.8,0.6,0.5%
,"2004","2004","Female","F","85+ years","85+",953,3166584,30.1,28.2,32.0,1.0,0.2%
,"2004","2004","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2004","2004","Male","M","< 1 year","1",Suppressed,2052042,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2004","2004","Male","M","1-4 years","1-4",31,8058452,0.4,0.3,0.5,0.1,0.0%
,"2004","2004","Male","M","5-14 years","5-14",41,20918980,0.2,0.1,0.3,0.0,0.0%
,"2004","2004","Male","M","15-24 years","15-24",88,21514678,0.4,0.3,0.5,0.0,0.0%
,"2004","2004","Male","M","25-34 years","25-34",112,19746331,0.6,0.5,0.7,0.1,0.0%
,"2004","2004","Male","M","35-44 years","35-44",290,21784541,1.3,1.2,1.5,0.1,0.1%
,"2004","2004","Male","M","45-54 years","45-54",889,20445801,4.3,4.1,4.6,0.1,0.2%
,"2004","2004","Male","M","55-64 years","55-64",1883,14119557,13.3,12.7,13.9,0.3,0.4%
,"2004","2004","Male","M","65-74 years","65-74",2586,8557170,30.2,29.1,31.4,0.6,0.6%
,"2004","2004","Male","M","75-84 years","75-84",2660,5251161,50.7,48.7,52.6,1.0,0.6%
,"2004","2004","Male","M","85+ years","85+",891,1379299,64.6,60.4,68.8,2.2,0.2%
,"2004","2004","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2005","2005","Female","F","< 1 year","1",Suppressed,1956682,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2005","2005","Female","F","1-4 years","1-4",13,7785123,Unreliable,0.1,0.3,0.0,0.0%
,"2005","2005","Female","F","5-14 years","5-14",33,19822282,0.2,0.1,0.2,0.0,0.0%
,"2005","2005","Female","F","15-24 years","15-24",70,20657595,0.3,0.3,0.4,0.0,0.0%
,"2005","2005","Female","F","25-34 years","25-34",99,19547698,0.5,0.4,0.6,0.1,0.0%
,"2005","2005","Female","F","35-44 years","35-44",329,21865343,1.5,1.3,1.7,0.1,0.1%
,"2005","2005","Female","F","45-54 years","45-54",869,21614529,4.0,3.8,4.3,0.1,0.2%
