"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Male","M","2020","2020","1-4 years","1-4",Suppressed,7953016,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2020","2020","5-14 years","5-14",16,20941721,0.1,0.0,0.1,0.0,0.0%
,"Male","M","2020","2020","15-24 years","15-24",40,21727443,0.2,0.1,0.3,0.0,0.1%
,"Male","M","2020","2020","25-34 years","25-34",59,23444379,0.3,0.2,0.3,0.0,0.1%
,"Male","M","2020","2020","35-44 years","35-44",101,21045868,0.5,0.4,0.6,0.0,0.3%
,"Male","M","2020","2020","45-54 years","45-54",226,19924692,1.1,1.0,1.3,0.1,0.6%
,"Male","M","2020","2020","55-64 years","55-64",603,20489434,2.9,2.7,3.2,0.1,1.5%
,"Male","M","2020","2020","65-74 years","65-74",1062,15183540,7.0,6.6,7.4,0.2,2.6%
,"Male","M","2020","2020","75-84 years","75-84",877,7223275,12.1,11.3,12.9,0.4,2.2%
,"Male","M","2020","2020","85+ years","85+",325,2414693,13.5,12.0,14.9,0.7,0.8%
,"Male","M","2020","2020","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2021","2021","< 1 year","1",0,1821502,0.0,0.0,0.0,0.0,0.0%
,"Male","M","2021","2021","1-4 years","1-4",Suppressed,7802850,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2021","2021","5-14 years","5-14",27,21364381,0.1,0.1,0.2,0.0,0.1%
,"Male","M","2021","2021","15-24 years","15-24",40,21996214,0.2,0.1,0.2,0.0,0.1%
,"Male","M","2021","2021","25-34 years","25-34",64,23053362,0.3,0.2,0.4,0.0,0.2%
,"Male","M","2021","2021","35-44 years","35-44",116,21857613,0.5,0.4,0.6,0.0,0.3%
,"Male","M","2021","2021","45-54 years","45-54",203,20311959,1.0,0.9,1.1,0.1,0.5%
,"Male","M","2021","2021","55-64 years","55-64",617,20963318,2.9,2.7,3.2,0.1,1.5%
,"Male","M","2021","2021","65-74 years","65-74",1102,15869086,6.9,6.5,7.4,0.2,2.7%
,"Male","M","2021","2021","75-84 years","75-84",892,7168514,12.4,11.6,13.3,0.4,2.2%
,"Male","M","2021","2021","85+ years","85+",344,2175943,15.8,14.1,17.5,0.9,0.9%
,"Male","M","2021","2021","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2022","2022","< 1 year","1",0,1882867,0.0,0.0,0.0,0.0,0.0%
,"Male","M","2022","2022","1-4 years","1-4",Suppressed,7592228,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2022","2022","5-14 years","5-14",19,20933799,0.1,0.1,0.1,0.0,0.0%
,"Male","M","2022","2022","15-24 years","15-24",43,22684031,0.2,0.1,0.3,0.0,0.1%
,"Male","M","2022","2022","25-34 years","25-34",70,23189562,0.3,0.2,0.4,0.0,0.2%
,"Male","M","2022","2022","35-44 years","35-44",95,22120189,0.4,0.3,0.5,0.0,0.2%
,"Male","M","2022","2022","45-54 years","45-54",209,20279630,1.0,0.9,1.2,0.1,0.5%
,"Male","M","2022","2022","55-64 years","55-64",568,20671903,2.7,2.5,3.0,0.1,1.4%
,"Male","M","2022","2022","65-74 years","65-74",1098,15910672,6.9,6.5,7.3,0.2,2.7%
,"Male","M","2022","2022","75-84 years","75-84",963,7734845,12.5,11.7,13.2,0.4,2.4%
,"Male","M","2022","2022","85+ years","85+",351,2283827,15.4,13.8,17.0,0.8,0.9%
,"Male","M","2022","2022","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2023","2023","< 1 year","1",0,1864508,0.0,0.0,0.0,0.0,0.0%
,"Male","M","2023","2023","1-4 years","1-4",Suppressed,7594891,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2023","2023","5-14 years","5-14",29,20972638,0.1,0.1,0.2,0.0,0.1%
,"Male","M","2023","2023","15-24 years","15-24",41,22423446,0.2,0.1,0.2,0.0,0.1%
,"Male","M","2023","2023","25-34 years","25-34",79,23059187,0.3,0.3,0.4,0.0,0.2%
,"Male","M","2023","2023","35-44 years","35-44",117,22362236,0.5,0.4,0.6,0.0,0.3%
,"Male","M","2023","2023","45-54 years","45-54",192,20187109,1.0,0.8,1.1,0.1,0.5%
,"Male","M","2023","2023","55-64 years","55-64",559,20503845,2.7,2.5,3.0,0.1,1.4%
,"Male","M","2023","2023","65-74 years","65-74",1073,16335080,6.6,6.2,7.0,0.2,2.7%
,"Male","M","2023","2023","75-84 years","75-84",1060,8162499,13.0,12.2,13.8,0.4,2.6%
,"Male","M","2023","2023","85+ years","85+",341,2283961,14.9,13.3,16.5,0.8,0.8%
,"Male","M","2023","2023","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2024 ","2024","< 1 year","1",0,1846708,0.0,0.0,0.0,0.0,0.0%
,"Male","M","2024 ","2024","1-4 years","1-4",Suppressed,7654335,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2024 ","2024","5-14 years","5-14",26,21020790,0.1,0.1,0.2,0.0,0.1%
,"Male","M","2024 ","2024","15-24 years","15-24",52,22913584,0.2,0.2,0.3,0.0,0.1%
,"Male","M","2024 ","2024","25-34 years","25-34",62,23518451,0.3,0.2,0.3,0.0,0.2%
,"Male","M","2024 ","2024","35-44 years","35-44",98,22955948,0.4,0.3,0.5,0.0,0.2%
,"Male","M","2024 ","2024","45-54 years","45-54",193,20322445,0.9,0.8,1.1,0.1,0.5%
,"Male","M","2024 ","2024","55-64 years","55-64",527,20415008,2.6,2.4,2.8,0.1,1.3%
,"Male","M","2024 ","2024","65-74 years","65-74",1033,16699669,6.2,5.8,6.6,0.2,2.6%
,"Male","M","2024 ","2024","75-84 years","75-84",1064,8576931,12.4,11.7,13.2,0.4,2.6%
,"Male","M","2024 ","2024","85+ years","85+",383,2414013,15.9,14.3,17.5,0.8,0.9%
,"Male","M","2024 ","2024","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"---"
"Dataset: Multiple Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"UCD - ICD-10 Codes: C81.0 (Hodgkin lymphocytic predominance); C81.1 (Hodgkin nodular sclerosis); C81.2 (Hodgkin mixed"
"cellularity); C81.3 (Hodgkin lymphocytic depletion); C81.7 (Other Hodgkin disease); C81.9 (Hodgkin disease, unspecified); C82.0"
"(Non-Hodgkin lymphoma small cleaved cell, follicular); C82.1 (Non-Hodgkin lymphoma mixed small cleaved and large cell,"
"follicular); C82.2 (Non-Hodgkin lymphoma large cell, follicular); C82.7 (Other types of follicular non-Hodgkin lymphoma); C82.9"
"(Follicular non-Hodgkin lymphoma, unspecified); C83.0 (Non-Hodgkin lymphoma small cell (diffuse)); C83.1 (Non-Hodgkin lymphoma"
"small cleaved cell (diffuse)); C83.2 (Non-Hodgkin lymphoma mixed small and large cell (diffuse)); C83.3 (Non-Hodgkin lymphoma"
"large cell (diffuse)); C83.4 (Non-Hodgkin lymphoma immunoblastic (diffuse)); C83.5 (Non-Hodgkin lymphoma lymphoblastic"
"(diffuse)); C83.6 (Non-Hodgkin lymphoma undifferentiated (diffuse)); C83.7 (Burkitt tumor); C83.8 (Other types of diffuse"
"non-Hodgkin lymphoma); C83.9 (Diffuse non-Hodgkin lymphoma, unspecified); C84.0 (Mycosis fungoides - Malignant neoplasms); C84.1"
"(STzary disease); C84.2 (T-zone lymphoma - Malignant neoplasms); C84.3 (Lymphoepithelioid lymphoma - Malignant neoplasms); C84.4"
"(Peripheral T-cell lymphoma - Malignant neoplasms); C84.5 (Other and unspecified T-cell lymphomas - Malignant neoplasms); C85.0"
"(Lymphosarcoma - Malignant neoplasms); C85.1 (B-cell lymphoma, unspecified - Malignant neoplasms); C85.7 (Other specified types"
"of non-Hodgkin lymphoma); C85.9 (Non-Hodgkin lymphoma, unspecified type); C88.0 (Waldenstr÷m macroglobulinemia); C88.1 (Alpha"
"heavy chain disease - Malignant neoplasms); C88.2 (Gamma heavy chain disease - Malignant neoplasms); C88.3 (Immunoproliferative"
"small intestinal disease - Malignant neoplasms); C88.7 (Other malignant immunoproliferative diseases - Malignant neoplasms);"
"C88.9 (Malignant immunoproliferative disease, unspecified - Malignant neoplasms); C90.0 (Multiple myeloma - Malignant"
"neoplasms); C90.1 (Plasma cell leukaemia - Malignant neoplasms); C90.2 (Plasmacytoma, extramedullary - Malignant neoplasms);"
"C91.0 (Acute lymphoblastic leukaemia - Malignant neoplasms); C91.1 (Chronic lymphocytic leukaemia - Malignant neoplasms); C91.2"
"(Subacute lymphocytic leukaemia - Malignant neoplasms); C91.3 (Prolymphocytic leukaemia - Malignant neoplasms); C91.4"
"(Hairy-cell leukaemia - Malignant neoplasms); C91.5 (Adult T-cell leukaemia - Malignant neoplasms); C91.7 (Other lymphoid"
"leukaemia - Malignant neoplasms); C91.9 (Lymphoid leukaemia, unspecified - Malignant neoplasms); C92.0 (Acute myeloid leukaemia"
"- Malignant neoplasms); C92.1 (Chronic myeloid leukaemia - Malignant neoplasms); C92.2 (Subacute myeloid leukaemia - Malignant"
"neoplasms); C92.3 (Myeloid sarcoma - Malignant neoplasms); C92.4 (Acute promyelocytic leukaemia - Malignant neoplasms); C92.5"
"(Acute myelomonocytic leukaemia - Malignant neoplasms); C92.7 (Other myeloid leukaemia - Malignant neoplasms); C92.9 (Myeloid"
"leukaemia, unspecified - Malignant neoplasms); C93.0 (Acute monocytic leukaemia - Malignant neoplasms); C93.1 (Chronic monocytic"
"leukaemia - Malignant neoplasms); C93.2 (Subacute monocytic leukaemia - Malignant neoplasms); C93.7 (Other monocytic leukaemia -"
"Malignant neoplasms); C93.9 (Monocytic leukaemia, unspecified - Malignant neoplasms); C94.0 (Acute erythraemia and"
"erythroleukaemia - Malignant neoplasms); C94.1 (Chronic erythraemia - Malignant neoplasms); C94.2 (Acute megakaryoblastic"
"leukaemia - Malignant neoplasms); C94.3 (Mast cell leukaemia - Malignant neoplasms); C94.4 (Acute panmyelosis - Malignant"
"neoplasms); C94.5 (Acute myelofibrosis - Malignant neoplasms); C94.7 (Other specified leukaemias - Malignant neoplasms); C95.0"
"(Acute leukaemia of unspecified cell type - Malignant neoplasms); C95.1 (Chronic leukaemia of unspecified cell type - Malignant"
"neoplasms); C95.2 (Subacute leukaemia of unspecified cell type - Malignant neoplasms); C95.7 (Other leukaemia of unspecified"
"cell type - Malignant neoplasms); C95.9 (Leukaemia, unspecified - Malignant neoplasms); C96.0 (Letterer-Siwe disease - Malignant"
"neoplasms); C96.1 (Malignant histiocytosis - Malignant neoplasms); C96.2 (Malignant mast cell tumour - Malignant neoplasms);"
"C96.3 (True histiocytic lymphoma - Malignant neoplasms); C96.7 (Other specified malignant neoplasms of lymphoid, haematopoietic"
"and related tissue - Malignant neoplasms); C96.9 (Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified"
"- Malignant neoplasms)"
"Group By: Sex; Year; Ten-Year Age Groups"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-expanded.html for more information."
"---"
"Query Date: Aug 14, 2026 2:59:46 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10-expanded.html on Aug 14, 2026 2:59:46 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Assurance of Confidentiality."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Not Stated."
"3. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Confidence-Intervals."
"4. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Standard-Errors."
"5. The population figures for year 2024 are single-race estimates of the July 1 resident population, from the Vintage 2024"
