"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Male","M","2021","2021","1-4 years","1-4",44,7802850,0.6,0.4,0.8,0.1,0.0%
,"Male","M","2021","2021","5-14 years","5-14",135,21364381,0.6,0.5,0.7,0.1,0.0%
,"Male","M","2021","2021","15-24 years","15-24",228,21996214,1.0,0.9,1.2,0.1,0.1%
,"Male","M","2021","2021","25-34 years","25-34",354,23053362,1.5,1.4,1.7,0.1,0.1%
,"Male","M","2021","2021","35-44 years","35-44",556,21857613,2.5,2.3,2.8,0.1,0.1%
,"Male","M","2021","2021","45-54 years","45-54",1252,20311959,6.2,5.8,6.5,0.2,0.3%
,"Male","M","2021","2021","55-64 years","55-64",4220,20963318,20.1,19.5,20.7,0.3,1.1%
,"Male","M","2021","2021","65-74 years","65-74",9047,15869086,57.0,55.8,58.2,0.6,2.3%
,"Male","M","2021","2021","75-84 years","75-84",10791,7168514,150.5,147.7,153.4,1.4,2.7%
,"Male","M","2021","2021","85+ years","85+",6355,2175943,292.1,284.9,299.2,3.7,1.6%
,"Male","M","2021","2021","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2022","2022","< 1 year","1",Suppressed,1882867,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2022","2022","1-4 years","1-4",46,7592228,0.6,0.4,0.8,0.1,0.0%
,"Male","M","2022","2022","5-14 years","5-14",113,20933799,0.5,0.4,0.6,0.1,0.0%
,"Male","M","2022","2022","15-24 years","15-24",236,22684031,1.0,0.9,1.2,0.1,0.1%
,"Male","M","2022","2022","25-34 years","25-34",347,23189562,1.5,1.3,1.7,0.1,0.1%
,"Male","M","2022","2022","35-44 years","35-44",597,22120189,2.7,2.5,2.9,0.1,0.1%
,"Male","M","2022","2022","45-54 years","45-54",1307,20279630,6.4,6.1,6.8,0.2,0.3%
,"Male","M","2022","2022","55-64 years","55-64",3992,20671903,19.3,18.7,19.9,0.3,1.0%
,"Male","M","2022","2022","65-74 years","65-74",8763,15910672,55.1,53.9,56.2,0.6,2.2%
,"Male","M","2022","2022","75-84 years","75-84",10751,7734845,139.0,136.4,141.6,1.3,2.7%
,"Male","M","2022","2022","85+ years","85+",6355,2283827,278.3,271.4,285.1,3.5,1.6%
,"Male","M","2022","2022","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2023","2023","< 1 year","1",15,1864508,0.8,0.5,1.3,0.2,0.0%
,"Male","M","2023","2023","1-4 years","1-4",48,7594891,0.6,0.5,0.8,0.1,0.0%
,"Male","M","2023","2023","5-14 years","5-14",121,20972638,0.6,0.5,0.7,0.1,0.0%
,"Male","M","2023","2023","15-24 years","15-24",232,22423446,1.0,0.9,1.2,0.1,0.1%
,"Male","M","2023","2023","25-34 years","25-34",360,23059187,1.6,1.4,1.7,0.1,0.1%
,"Male","M","2023","2023","35-44 years","35-44",635,22362236,2.8,2.6,3.1,0.1,0.2%
,"Male","M","2023","2023","45-54 years","45-54",1270,20187109,6.3,5.9,6.6,0.2,0.3%
,"Male","M","2023","2023","55-64 years","55-64",3834,20503845,18.7,18.1,19.3,0.3,1.0%
,"Male","M","2023","2023","65-74 years","65-74",8499,16335080,52.0,50.9,53.1,0.6,2.1%
,"Male","M","2023","2023","75-84 years","75-84",11468,8162499,140.5,137.9,143.1,1.3,2.9%
,"Male","M","2023","2023","85+ years","85+",6236,2283961,273.0,266.3,279.8,3.5,1.6%
,"Male","M","2023","2023","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"Male","M","2024 ","2024","< 1 year","1",Suppressed,1846708,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2024 ","2024","1-4 years","1-4",51,7654335,0.7,0.5,0.9,0.1,0.0%
,"Male","M","2024 ","2024","5-14 years","5-14",122,21020790,0.6,0.5,0.7,0.1,0.0%
,"Male","M","2024 ","2024","15-24 years","15-24",229,22913584,1.0,0.9,1.1,0.1,0.1%
,"Male","M","2024 ","2024","25-34 years","25-34",321,23518451,1.4,1.2,1.5,0.1,0.1%
,"Male","M","2024 ","2024","35-44 years","35-44",573,22955948,2.5,2.3,2.7,0.1,0.1%
,"Male","M","2024 ","2024","45-54 years","45-54",1193,20322445,5.9,5.5,6.2,0.2,0.3%
,"Male","M","2024 ","2024","55-64 years","55-64",3535,20415008,17.3,16.7,17.9,0.3,0.9%
,"Male","M","2024 ","2024","65-74 years","65-74",8379,16699669,50.2,49.1,51.2,0.5,2.1%
,"Male","M","2024 ","2024","75-84 years","75-84",11610,8576931,135.4,132.9,137.8,1.3,2.9%
,"Male","M","2024 ","2024","85+ years","85+",6588,2414013,272.9,266.3,279.5,3.4,1.6%
,"Male","M","2024 ","2024","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"---"
"Dataset: Multiple Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"UCD - ICD-10 Codes: C81.0 (Hodgkin lymphocytic predominance); C81.1 (Hodgkin nodular sclerosis); C81.2 (Hodgkin mixed"
"cellularity); C81.3 (Hodgkin lymphocytic depletion); C81.7 (Other Hodgkin disease); C81.9 (Hodgkin disease, unspecified); C82.0"
"(Non-Hodgkin lymphoma small cleaved cell, follicular); C82.1 (Non-Hodgkin lymphoma mixed small cleaved and large cell,"
"follicular); C82.2 (Non-Hodgkin lymphoma large cell, follicular); C82.7 (Other types of follicular non-Hodgkin lymphoma); C82.9"
"(Follicular non-Hodgkin lymphoma, unspecified); C83.0 (Non-Hodgkin lymphoma small cell (diffuse)); C83.1 (Non-Hodgkin lymphoma"
"small cleaved cell (diffuse)); C83.2 (Non-Hodgkin lymphoma mixed small and large cell (diffuse)); C83.3 (Non-Hodgkin lymphoma"
"large cell (diffuse)); C83.4 (Non-Hodgkin lymphoma immunoblastic (diffuse)); C83.5 (Non-Hodgkin lymphoma lymphoblastic"
"(diffuse)); C83.6 (Non-Hodgkin lymphoma undifferentiated (diffuse)); C83.7 (Burkitt tumor); C83.8 (Other types of diffuse"
"non-Hodgkin lymphoma); C83.9 (Diffuse non-Hodgkin lymphoma, unspecified); C84.0 (Mycosis fungoides - Malignant neoplasms); C84.1"
"(STzary disease); C84.2 (T-zone lymphoma - Malignant neoplasms); C84.3 (Lymphoepithelioid lymphoma - Malignant neoplasms); C84.4"
"(Peripheral T-cell lymphoma - Malignant neoplasms); C84.5 (Other and unspecified T-cell lymphomas - Malignant neoplasms); C85.0"
"(Lymphosarcoma - Malignant neoplasms); C85.1 (B-cell lymphoma, unspecified - Malignant neoplasms); C85.7 (Other specified types"
"of non-Hodgkin lymphoma); C85.9 (Non-Hodgkin lymphoma, unspecified type); C88.0 (Waldenstr÷m macroglobulinemia); C88.1 (Alpha"
