"Notes","Year","Year Code","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2003","2003","Female","F","65-74 years","65-74",182076,10048202,1812.0,1803.7,1820.3,4.2,0.3%
,"2003","2003","Female","F","75-84 years","75-84",360692,7713157,4676.3,4661.1,4691.6,7.8,0.6%
,"2003","2003","Female","F","85+ years","85+",459640,3127975,14694.5,14652.0,14737.0,21.7,0.8%
,"2003","2003","Female","F","Not Stated","NS",71,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2003","2003","Female","F",,,1246324,147679036,843.9,842.5,845.4,0.8,2.2%
,"2003","2003","Male","M","< 1 year","1",15902,2033237,782.1,769.9,794.3,6.2,0.0%
,"2003","2003","Male","M","1-4 years","1-4",2826,7979882,35.4,34.1,36.7,0.7,0.0%
,"2003","2003","Male","M","5-14 years","5-14",4150,21010082,19.8,19.2,20.4,0.3,0.0%
,"2003","2003","Male","M","15-24 years","15-24",24670,21208564,116.3,114.9,117.8,0.7,0.0%
,"2003","2003","Male","M","25-34 years","25-34",28602,19742873,144.9,143.2,146.6,0.9,0.1%
,"2003","2003","Male","M","35-44 years","35-44",56435,21947503,257.1,255.0,259.3,1.1,0.1%
,"2003","2003","Male","M","45-54 years","45-54",110682,20043035,552.2,549.0,555.5,1.7,0.2%
,"2003","2003","Male","M","55-64 years","55-64",156461,13489526,1159.9,1154.1,1165.6,2.9,0.3%
,"2003","2003","Male","M","65-74 years","65-74",231421,8452713,2737.8,2726.7,2749.0,5.7,0.4%
,"2003","2003","Male","M","75-84 years","75-84",342332,5183281,6604.5,6582.4,6626.7,11.3,0.6%
,"2003","2003","Male","M","85+ years","85+",228212,1338201,17053.6,16983.7,17123.6,35.7,0.4%
,"2003","2003","Male","M","Not Stated","NS",271,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2003","2003","Male","M",,,1201964,142428897,843.9,842.4,845.4,0.8,2.1%
"Total","2003","2003",,,,,2448288,290107933,843.9,842.9,845.0,0.5,4.3%
,"2004","2004","Female","F","< 1 year","1",12218,1962216,622.7,611.6,633.7,5.6,0.0%
,"2004","2004","Female","F","1-4 years","1-4",2136,7713175,27.7,26.5,28.9,0.6,0.0%
,"2004","2004","Female","F","5-14 years","5-14",2835,19946937,14.2,13.7,14.7,0.3,0.0%
,"2004","2004","Female","F","15-24 years","15-24",8834,20433434,43.2,42.3,44.1,0.5,0.0%
,"2004","2004","Female","F","25-34 years","25-34",12509,19520225,64.1,63.0,65.2,0.6,0.0%
,"2004","2004","Female","F","35-44 years","35-44",31685,22015734,143.9,142.3,145.5,0.8,0.1%
,"2004","2004","Female","F","45-54 years","45-54",66534,21184129,314.1,311.7,316.5,1.2,0.1%
,"2004","2004","Female","F","55-64 years","55-64",106665,15185747,702.4,698.2,706.6,2.2,0.2%
,"2004","2004","Female","F","65-74 years","65-74",176775,10110363,1748.5,1740.3,1756.6,4.2,0.3%
,"2004","2004","Female","F","75-84 years","75-84",350561,7738742,4529.9,4515.0,4544.9,7.7,0.6%
,"2004","2004","Female","F","85+ years","85+",445123,3166584,14056.9,14015.6,14098.2,21.1,0.8%
,"2004","2004","Female","F","Not Stated","NS",72,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2004","2004","Female","F",,,1215947,148977286,816.2,814.7,817.6,0.7,2.1%
,"2004","2004","Male","M","< 1 year","1",15718,2052042,766.0,754.0,777.9,6.1,0.0%
,"2004","2004","Male","M","1-4 years","1-4",2649,8058452,32.9,31.6,34.1,0.6,0.0%
,"2004","2004","Male","M","5-14 years","5-14",3999,20918980,19.1,18.5,19.7,0.3,0.0%
,"2004","2004","Male","M","15-24 years","15-24",24587,21514678,114.3,112.9,115.7,0.7,0.0%
,"2004","2004","Male","M","25-34 years","25-34",28359,19746331,143.6,141.9,145.3,0.9,0.0%
,"2004","2004","Male","M","35-44 years","35-44",53677,21784541,246.4,244.3,248.5,1.1,0.1%
,"2004","2004","Male","M","45-54 years","45-54",111163,20445801,543.7,540.5,546.9,1.6,0.2%
,"2004","2004","Male","M","55-64 years","55-64",158032,14119557,1119.2,1113.7,1124.8,2.8,0.3%
,"2004","2004","Male","M","65-74 years","65-74",222891,8557170,2604.7,2593.9,2615.5,5.5,0.4%
,"2004","2004","Male","M","75-84 years","75-84",333669,5251161,6354.2,6332.6,6375.8,11.0,0.6%
,"2004","2004","Male","M","85+ years","85+",226650,1379299,16432.3,16364.6,16499.9,34.5,0.4%
,"2004","2004","Male","M","Not Stated","NS",274,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2004","2004","Male","M",,,1181668,143828012,821.6,820.1,823.1,0.8,2.1%
"Total","2004","2004",,,,,2397615,292805298,818.8,817.8,819.9,0.5,4.2%
,"2005","2005","Female","F","< 1 year","1",12422,1956682,634.9,623.7,646.0,5.7,0.0%
,"2005","2005","Female","F","1-4 years","1-4",1991,7785123,25.6,24.5,26.7,0.6,0.0%
,"2005","2005","Female","F","5-14 years","5-14",2749,19822282,13.9,13.3,14.4,0.3,0.0%
,"2005","2005","Female","F","15-24 years","15-24",8725,20657595,42.2,41.4,43.1,0.5,0.0%
,"2005","2005","Female","F","25-34 years","25-34",12642,19547698,64.7,63.5,65.8,0.6,0.0%
,"2005","2005","Female","F","35-44 years","35-44",31476,21865343,144.0,142.4,145.5,0.8,0.1%
,"2005","2005","Female","F","45-54 years","45-54",69058,21614529,319.5,317.1,321.9,1.2,0.1%
,"2005","2005","Female","F","55-64 years","55-64",109872,15868410,692.4,688.3,696.5,2.1,0.2%
,"2005","2005","Female","F","65-74 years","65-74",175548,10198569,1721.3,1713.2,1729.4,4.1,0.3%
,"2005","2005","Female","F","75-84 years","75-84",351430,7753835,4532.3,4517.4,4547.3,7.6,0.6%
,"2005","2005","Female","F","85+ years","85+",464373,3249455,14290.8,14249.7,14331.9,21.0,0.8%
,"2005","2005","Female","F","Not Stated","NS",56,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2005","2005","Female","F",,,1240342,150319521,825.1,823.7,826.6,0.7,2.2%
,"2005","2005","Male","M","< 1 year","1",16018,2047711,782.2,770.1,794.4,6.2,0.0%
,"2005","2005","Male","M","1-4 years","1-4",2765,8127884,34.0,32.8,35.3,0.6,0.0%
,"2005","2005","Male","M","5-14 years","5-14",3853,20779364,18.5,18.0,19.1,0.3,0.0%
,"2005","2005","Male","M","15-24 years","15-24",25509,21788574,117.1,115.6,118.5,0.7,0.0%
,"2005","2005","Male","M","25-34 years","25-34",29283,19710949,148.6,146.9,150.3,0.9,0.1%
,"2005","2005","Male","M","35-44 years","35-44",53309,21640195,246.3,244.3,248.4,1.1,0.1%
,"2005","2005","Male","M","45-54 years","45-54",114472,20881375,548.2,545.0,551.4,1.6,0.2%
,"2005","2005","Male","M","55-64 years","55-64",165429,14773087,1119.8,1114.4,1125.2,2.8,0.3%
,"2005","2005","Male","M","65-74 years","65-74",222807,8683128,2566.0,2555.3,2576.6,5.4,0.4%
,"2005","2005","Male","M","75-84 years","75-84",335235,5320967,6300.3,6278.9,6321.6,10.9,0.6%
,"2005","2005","Male","M","85+ years","85+",238796,1443844,16538.9,16472.6,16605.2,33.8,0.4%
,"2005","2005","Male","M","Not Stated","NS",199,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2005","2005","Male","M",,,1207675,145197078,831.7,830.3,833.2,0.8,2.1%
"Total","2005","2005",,,,,2448017,295516599,828.4,827.3,829.4,0.5,4.3%
,"2006","2006","Female","F","< 1 year","1",12547,1975919,635.0,623.9,646.1,5.7,0.0%
,"2006","2006","Female","F","1-4 years","1-4",2090,7775092,26.9,25.7,28.0,0.6,0.0%
,"2006","2006","Female","F","5-14 years","5-14",2524,19817117,12.7,12.2,13.2,0.3,0.0%
,"2006","2006","Female","F","15-24 years","15-24",8817,20836077,42.3,41.4,43.2,0.5,0.0%
,"2006","2006","Female","F","25-34 years","25-34",12764,19626340,65.0,63.9,66.2,0.6,0.0%
,"2006","2006","Female","F","35-44 years","35-44",30893,21727611,142.2,140.6,143.8,0.8,0.1%
,"2006","2006","Female","F","45-54 years","45-54",69859,22011575,317.4,315.0,319.7,1.2,0.1%
,"2006","2006","Female","F","55-64 years","55-64",112414,16532054,680.0,676.0,684.0,2.0,0.2%
,"2006","2006","Female","F","65-74 years","65-74",171928,10350638,1661.0,1653.2,1668.9,4.0,0.3%
,"2006","2006","Female","F","75-84 years","75-84",340023,7732685,4397.2,4382.4,4412.0,7.5,0.6%
,"2006","2006","Female","F","85+ years","85+",460414,3347539,13753.8,13714.1,13793.5,20.3,0.8%
,"2006","2006","Female","F","Not Stated","NS",49,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2006","2006","Female","F",,,1224322,151732647,806.9,805.5,808.3,0.7,2.2%
,"2006","2006","Male","M","< 1 year","1",15980,2065819,773.5,761.5,785.5,6.1,0.0%
,"2006","2006","Male","M","1-4 years","1-4",2541,8122053,31.3,30.1,32.5,0.6,0.0%
,"2006","2006","Male","M","5-14 years","5-14",3625,20760709,17.5,16.9,18.0,0.3,0.0%
,"2006","2006","Male","M","15-24 years","15-24",26070,22007767,118.5,117.0,119.9,0.7,0.0%
,"2006","2006","Male","M","25-34 years","25-34",30188,19768839,152.7,151.0,154.4,0.9,0.1%
,"2006","2006","Male","M","35-44 years","35-44",52150,21516190,242.4,240.3,244.5,1.1,0.1%
,"2006","2006","Male","M","45-54 years","45-54",115172,21274584,541.4,538.2,544.5,1.6,0.2%
,"2006","2006","Male","M","55-64 years","55-64",168987,15398059,1097.5,1092.2,1102.7,2.7,0.3%
,"2006","2006","Male","M","65-74 years","65-74",218165,8852389,2464.5,2454.1,2474.8,5.3,0.4%
,"2006","2006","Male","M","75-84 years","75-84",327315,5362466,6103.8,6082.9,6124.7,10.7,0.6%
,"2006","2006","Male","M","85+ years","85+",241578,1518390,15910.1,15846.7,15973.6,32.4,0.4%
,"2006","2006","Male","M","Not Stated","NS",171,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2006","2006","Male","M",,,1201942,146647265,819.6,818.1,821.1,0.7,2.1%
"Total","2006","2006",,,,,2426264,298379912,813.1,812.1,814.2,0.5,4.3%
,"2007","2007","Female","F","< 1 year","1",12845,2027181,633.6,622.7,644.6,5.6,0.0%
,"2007","2007","Female","F","1-4 years","1-4",2069,7813088,26.5,25.3,27.6,0.6,0.0%
,"2007","2007","Female","F","5-14 years","5-14",2562,19810765,12.9,12.4,13.4,0.3,0.0%
,"2007","2007","Female","F","15-24 years","15-24",8666,21001489,41.3,40.4,42.1,0.4,0.0%
,"2007","2007","Female","F","25-34 years","25-34",12780,19788593,64.6,63.5,65.7,0.6,0.0%
,"2007","2007","Female","F","35-44 years","35-44",29501,21502002,137.2,135.6,138.8,0.8,0.1%
,"2007","2007","Female","F","45-54 years","45-54",70230,22337962,314.4,312.1,316.7,1.2,0.1%
,"2007","2007","Female","F","55-64 years","55-64",113492,17148671,661.8,658.0,665.7,2.0,0.2%
,"2007","2007","Female","F","65-74 years","65-74",170894,10595802,1612.8,1605.2,1620.5,3.9,0.3%
,"2007","2007","Female","F","75-84 years","75-84",331879,7694491,4313.2,4298.5,4327.9,7.5,0.6%
,"2007","2007","Female","F","85+ years","85+",464781,3446309,13486.3,13447.6,13525.1,19.8,0.8%
,"2007","2007","Female","F","Not Stated","NS",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","2007","2007","Female","F",,,1219744,153166353,796.4,794.9,797.8,0.7,2.1%
,"2007","2007","Male","M","< 1 year","1",16293,2120816,768.2,756.4,780.0,6.0,0.0%
,"2007","2007","Male","M","1-4 years","1-4",2634,8164877,32.3,31.0,33.5,0.6,0.0%
,"2007","2007","Male","M","5-14 years","5-14",3585,20744888,17.3,16.7,17.8,0.3,0.0%
