"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Male","M","2019","2019","65-74 years","65-74",25370,14699579,172.6,170.5,174.7,1.1,1.6%
,"Male","M","2019","2019","75-84 years","75-84",27092,6998223,387.1,382.5,391.7,2.4,1.7%
,"Male","M","2019","2019","85+ years","85+",21208,2376488,892.4,880.4,904.4,6.1,1.3%
,"Male","M","2019","2019","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Male","M","2020","2020","< 1 year","1",197,1908141,10.3,8.9,11.8,0.7,0.0%
,"Male","M","2020","2020","1-4 years","1-4",82,7953016,1.0,0.8,1.3,0.1,0.0%
,"Male","M","2020","2020","5-14 years","5-14",121,20941721,0.6,0.5,0.7,0.1,0.0%
,"Male","M","2020","2020","15-24 years","15-24",397,21727443,1.8,1.6,2.0,0.1,0.0%
,"Male","M","2020","2020","25-34 years","25-34",1396,23444379,6.0,5.6,6.3,0.2,0.1%
,"Male","M","2020","2020","35-44 years","35-44",3469,21045868,16.5,15.9,17.0,0.3,0.2%
,"Male","M","2020","2020","45-54 years","45-54",8573,19924692,43.0,42.1,43.9,0.5,0.5%
,"Male","M","2020","2020","55-64 years","55-64",21504,20489434,105.0,103.5,106.4,0.7,1.3%
,"Male","M","2020","2020","65-74 years","65-74",33172,15183540,218.5,216.1,220.8,1.2,2.1%
,"Male","M","2020","2020","75-84 years","75-84",32916,7223275,455.7,450.8,460.6,2.5,2.1%
,"Male","M","2020","2020","85+ years","85+",23349,2414693,967.0,954.6,979.4,6.3,1.5%
,"Male","M","2020","2020","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Male","M","2021","2021","< 1 year","1",206,1821502,11.3,9.8,12.9,0.8,0.0%
,"Male","M","2021","2021","1-4 years","1-4",89,7802850,1.1,0.9,1.4,0.1,0.0%
,"Male","M","2021","2021","5-14 years","5-14",113,21364381,0.5,0.4,0.6,0.0,0.0%
,"Male","M","2021","2021","15-24 years","15-24",460,21996214,2.1,1.9,2.3,0.1,0.0%
,"Male","M","2021","2021","25-34 years","25-34",1759,23053362,7.6,7.3,8.0,0.2,0.1%
,"Male","M","2021","2021","35-44 years","35-44",4732,21857613,21.6,21.0,22.3,0.3,0.3%
,"Male","M","2021","2021","45-54 years","45-54",10500,20311959,51.7,50.7,52.7,0.5,0.7%
,"Male","M","2021","2021","55-64 years","55-64",24870,20963318,118.6,117.2,120.1,0.8,1.6%
,"Male","M","2021","2021","65-74 years","65-74",36925,15869086,232.7,230.3,235.1,1.2,2.3%
,"Male","M","2021","2021","75-84 years","75-84",34215,7168514,477.3,472.2,482.4,2.6,2.1%
